Round1:____________________________
1:8 11__40
43:0 19__0
43:16 6__0
43:16 7__0
43:16 9__0
43:1 12__0
43:16 12__0
43:16 21__0
43:17 1__0
43:1 18__0
43:17 5__0
43:17 6__0
43:17 7__0
43:17 8__0
43:17 10__0
43:17 12__0
43:18 0__0
43:18 3__0
43:18 4__0
43:18 9__0
43:1 20__0
43:19 1__0
43:19 2__0
43:2 11__0
43:2 16__0
43:19 6__0
43:19 7__0
43:19 9__0
43:20 2__0
43:20 5__0
43:2 17__0
43:20 10__0
43:2 18__0
43:2 20__0
43:3 10__0
43:21 7__0
43:21 10__0
43:21 11__0
43:3 15__0
43:21 18__0
43:21 19__0
43:21 27__0
43:22 4__0
43:22 5__0
43:22 6__0
43:3 20__0
43:22 10__0
43:22 12__0
43:4 8__0
43:22 17__0
43:22 18__0
43:22 20__0
43:22 21__0
43:15 1__0
43:22 23__0
43:22 24__0
43:22 25__0
43:22 26__0
43:23 5__0
43:23 7__0
43:23 8__0
43:23 9__0
43:23 11__0
43:23 15__0
43:23 17__0
43:23 19__0
43:23 20__0
43:4 9__0
43:4 16__0
43:24 9__0
43:24 10__0
43:24 16__0
43:24 18__0
43:24 21__0
43:20 17__0
Round44:____________________________
44:9 0__1128
44:11 3__726
44:5 6__70
44:9 4__65
44:10 1__37
44:6 7__30
44:23 15__29
44:9 5__22
44:5 5__18
44:22 26__9
44:15 12__4
44:17 2__4
44:21 1__3
44:23 8__3
44:23 26__3
44:24 21__3
44:15 6__2
44:13 10__2
44:20 11__2
44:11 8__1
44:24 26__1
44:21 7__1
44:21 11__1
44:4 7__0
44:4 8__0
44:4 9__0
44:4 16__0
44:4 17__0
44:4 18__0
44:4 19__0
44:5 15__0
44:5 17__0
44:5 18__0
44:5 19__0
44:5 20__0
44:6 15__0
44:6 17__0
44:6 21__0
44:7 7__0
44:7 15__0
44:7 17__0
44:7 19__0
44:7 20__0
44:8 7__0
44:8 14__0
44:8 17__0
44:8 18__0
44:9 7__0
44:9 8__0
44:9 9__0
44:9 14__0
44:9 16__0
44:10 3__0
44:10 4__0
44:10 10__0
44:10 14__0
44:10 16__0
44:11 2__0
44:11 6__0
44:11 11__0
44:11 13__0
44:11 16__0
44:12 1__0
44:12 2__0
44:12 5__0
44:12 9__0
44:12 12__0
44:12 15__0
44:10 7__0
44:13 4__0
44:13 8__0
44:13 9__0
44:0 12__0
44:13 11__0
44:13 12__0
44:13 13__0
44:13 14__0
44:14 1__0
44:14 3__0
44:14 7__0
44:14 13__0
44:15 1__0
44:15 2__0
44:15 3__0
44:15 5__0
44:13 2__0
44:0 19__0
44:16 4__0
44:16 12__0
44:17 1__0
44:1 12__0
44:17 13__0
44:18 0__0
44:18 2__0
44:18 3__0
44:18 4__0
44:18 5__0
44:18 13__0
44:19 3__0
44:19 5__0
44:19 13__0
44:20 0__0
44:1 18__0
44:20 6__0
44:1 20__0
44:20 12__0
44:2 11__0
44:2 16__0
44:21 10__0
44:2 17__0
44:21 27__0
44:22 7__0
44:22 10__0
44:22 12__0
44:22 16__0
44:22 18__0
44:22 21__0
44:22 22__0
44:22 23__0
44:20 2__0
44:22 25__0
44:2 18__0
44:2 20__0
44:23 9__0
44:23 11__0
44:3 10__0
44:23 17__0
44:23 19__0
44:23 20__0
44:3 15__0
44:24 7__0
44:24 9__0
44:24 10__0
44:24 16__0
44:24 18__0
44:3 20__0
44:22 24__0
Round45:____________________________
45:8 31__509
45:23 11__168
45:15 4__105
45:17 24__104
45:12 24__91
45:16 12__77
45:20 28__69
45:12 23__45
45:16 23__43
45:13 9__35
45:21 28__35
45:15 3__32
45:15 12__19
45:13 10__18
45:8 27__15
45:13 8__14
45:13 7__11
45:6 5__3
45:22 23__3
45:5 4__2
45:24 26__1
45:24 21__1
45:4 18__0
45:4 19__0
45:5 1__0
45:5 2__0
45:5 3__0
45:5 8__0
45:5 15__0
45:5 17__0
45:5 18__0
45:5 19__0
45:5 20__0
45:6 7__0
45:6 15__0
45:6 17__0
45:6 21__0
45:6 29__0
45:6 30__0
45:6 32__0
45:6 33__0
45:6 34__0
45:7 6__0
45:7 15__0
45:7 17__0
45:7 19__0
45:7 20__0
45:7 28__0
45:7 31__0
45:8 14__0
45:8 17__0
45:8 18__0
45:8 26__0
45:9 5__0
45:9 6__0
45:9 8__0
45:9 9__0
45:9 14__0
45:9 16__0
45:9 25__0
45:10 4__0
45:10 7__0
45:10 10__0
45:10 14__0
45:10 16__0
45:10 24__0
45:10 27__0
45:11 3__0
45:11 6__0
45:11 8__0
45:11 11__0
45:11 13__0
45:11 16__0
45:11 23__0
45:11 30__0
45:11 34__0
45:12 1__0
45:12 2__0
45:12 5__0
45:12 9__0
45:12 12__0
45:12 15__0
45:12 22__0
45:0 12__0
45:0 19__0
45:13 2__0
45:13 4__0
45:13 6__0
45:1 12__0
45:1 18__0
45:1 20__0
45:2 11__0
45:13 11__0
45:13 12__0
45:13 13__0
45:13 14__0
45:13 21__0
45:14 1__0
45:14 2__0
45:14 3__0
45:14 5__0
45:14 13__0
45:14 22__0
45:15 1__0
45:2 16__0
45:2 17__0
45:15 7__0
45:2 18__0
45:15 22__0
45:2 20__0
45:3 10__0
45:17 13__0
45:3 15__0
45:18 13__0
45:18 25__0
45:19 13__0
45:19 25__0
45:20 0__0
45:3 20__0
45:20 26__0
45:20 27__0
45:4 7__0
45:21 1__0
45:21 2__0
45:21 3__0
45:21 5__0
45:21 6__0
45:21 7__0
45:21 13__0
45:21 27__0
45:4 8__0
45:22 4__0
45:22 5__0
45:22 10__0
45:22 13__0
45:22 16__0
45:22 18__0
45:20 13__0
45:22 22__0
45:4 9__0
45:22 24__0
45:22 25__0
45:22 26__0
45:23 6__0
45:4 16__0
45:23 12__0
45:23 15__0
45:23 17__0
45:23 19__0
45:23 20__0
45:23 26__0
45:24 7__0
45:24 12__0
45:24 16__0
45:24 18__0
45:4 17__0
45:22 21__0
Round46:____________________________
46:23 2__518
46:23 3__186
46:12 1__136
46:17 5__104
46:19 11__66
46:5 1__62
46:22 7__61
46:16 11__56
46:13 14__45
46:18 2__31
46:15 11__24
46:19 14__23
46:23 26__21
46:23 4__20
46:15 8__19
46:21 8__12
46:17 11__9
46:24 21__3
46:8 7__2
46:6 4__2
46:5 4__2
46:24 26__2
46:21 13__2
46:10 7__1
46:11 6__1
46:5 3__1
46:17 4__1
46:4 19__0
46:5 2__0
46:5 8__0
46:5 15__0
46:5 17__0
46:5 18__0
46:5 19__0
46:5 20__0
46:6 8__0
46:6 15__0
46:6 17__0
46:6 21__0
46:7 4__0
46:7 8__0
46:7 15__0
46:7 17__0
46:7 19__0
46:7 20__0
46:8 5__0
46:8 14__0
46:8 17__0
46:8 18__0
46:9 5__0
46:9 7__0
46:9 8__0
46:9 9__0
46:9 14__0
46:9 16__0
46:10 4__0
46:10 10__0
46:10 14__0
46:10 16__0
46:11 3__0
46:11 7__0
46:11 8__0
46:11 11__0
46:11 13__0
46:11 16__0
46:12 2__0
46:12 5__0
46:12 6__0
46:12 8__0
46:12 9__0
46:12 12__0
46:12 15__0
46:13 2__0
46:13 4__0
46:13 5__0
46:13 6__0
46:13 8__0
46:13 10__0
46:13 11__0
46:13 13__0
46:0 12__0
46:14 1__0
46:14 3__0
46:14 4__0
46:14 6__0
46:14 7__0
46:14 9__0
46:14 10__0
46:15 1__0
46:15 4__0
46:15 5__0
46:15 6__0
46:0 19__0
46:1 12__0
46:15 12__0
46:16 2__0
46:16 3__0
46:1 18__0
46:16 13__0
46:16 14__0
46:17 2__0
46:17 3__0
46:1 20__0
46:2 11__0
46:2 16__0
46:17 12__0
46:17 15__0
46:2 17__0
46:2 18__0
46:2 20__0
46:19 12__0
46:3 10__0
46:20 11__0
46:20 12__0
46:20 14__0
46:21 0__0
46:3 15__0
46:21 9__0
46:21 10__0
46:3 20__0
46:22 0__0
46:4 7__0
46:22 16__0
46:22 18__0
46:22 21__0
46:22 22__0
46:18 14__0
46:22 24__0
46:22 25__0
46:23 0__0
46:4 8__0
46:4 9__0
46:4 16__0
46:23 5__0
46:23 6__0
46:23 15__0
46:23 17__0
46:23 19__0
46:23 20__0
46:4 17__0
46:24 1__0
46:24 16__0
46:24 18__0
46:4 18__0
46:22 23__0
Round47:____________________________
47:13 2__1030
47:20 4__95
47:3 1__90
47:16 3__65
47:22 9__53
47:20 7__37
47:13 4__29
47:23 17__22
47:23 9__13
47:19 2__12
47:22 10__9
47:20 10__5
47:6 4__4
47:23 24__3
47:9 8__2
47:14 11__2
47:16 8__2
47:17 6__2
47:6 10__1
47:10 7__1
47:15 5__1
47:9 5__1
47:4 7__1
47:5 10__1
47:14 5__1
47:15 12__1
47:17 10__1
47:24 25__1
47:19 3__1
47:22 16__1
47:24 18__1
47:24 21__1
47:5 17__0
47:5 18__0
47:5 19__0
47:5 20__0
47:6 15__0
47:6 17__0
47:6 21__0
47:7 3__0
47:7 11__0
47:7 15__0
47:7 17__0
47:7 19__0
47:7 20__0
47:8 4__0
47:8 10__0
47:8 14__0
47:8 17__0
47:8 18__0
47:9 9__0
47:9 14__0
47:9 16__0
47:10 4__0
47:10 14__0
47:10 16__0
47:11 3__0
47:11 6__0
47:11 7__0
47:11 8__0
47:11 11__0
47:11 13__0
47:11 16__0
47:12 1__0
47:12 2__0
47:12 5__0
47:12 6__0
47:12 8__0
47:12 9__0
47:12 12__0
47:10 10__0
47:0 12__0
47:0 19__0
47:13 6__0
47:13 7__0
47:13 8__0
47:13 9__0
47:13 10__0
47:13 11__0
47:13 13__0
47:13 14__0
47:14 1__0
47:14 3__0
47:1 12__0
47:1 18__0
47:15 2__0
47:15 4__0
47:12 15__0
47:15 7__0
47:1 20__0
47:16 1__0
47:2 11__0
47:16 5__0
47:16 6__0
47:2 16__0
47:16 12__0
47:2 17__0
47:17 7__0
47:17 9__0
47:2 18__0
47:17 13__0
47:18 5__0
47:18 8__0
47:18 11__0
47:18 12__0
47:2 20__0
47:3 10__0
47:3 15__0
47:19 6__0
47:19 7__0
47:3 20__0
47:4 2__0
47:20 8__0
47:20 9__0
47:4 8__0
47:21 5__0
47:21 11__0
47:22 6__0
47:4 9__0
47:4 16__0
47:4 17__0
47:22 18__0
47:19 1__0
47:22 22__0
47:22 23__0
47:22 25__0
47:23 6__0
47:4 18__0
47:23 15__0
47:4 19__0
47:23 19__0
47:23 20__0
47:5 3__0
47:23 26__0
47:24 7__0
47:24 8__0
47:24 16__0
47:5 5__0
47:5 15__0
47:22 21__0
Round48:____________________________
48:4 3__418
48:9 4__309
48:3 4__161
48:6 11__76
48:5 2__66
48:8 10__59
48:4 7__52
48:14 1__48
48:9 5__45
48:22 18__40
48:9 6__28
48:4 8__27
48:23 8__26
48:9 8__13
48:7 1__13
48:24 8__8
48:9 3__4
48:16 7__3
48:21 9__3
48:23 24__3
48:14 11__3
48:20 12__2
48:21 3__2
48:18 3__1
48:22 4__1
48:22 7__1
48:22 9__1
48:22 12__1
48:13 13__1
48:24 25__1
48:18 4__1
48:18 12__1
48:24 18__1
48:24 21__1
48:4 19__0
48:5 4__0
48:5 11__0
48:5 15__0
48:5 17__0
48:5 18__0
48:5 19__0
48:5 20__0
48:6 1__0
48:6 15__0
48:6 17__0
48:6 21__0
48:7 11__0
48:7 15__0
48:7 17__0
48:7 19__0
48:7 20__0
48:8 1__0
48:8 14__0
48:8 17__0
48:8 18__0
48:9 2__0
48:9 9__0
48:9 14__0
48:9 16__0
48:10 4__0
48:10 7__0
48:10 10__0
48:10 14__0
48:10 16__0
48:11 3__0
48:11 6__0
48:11 7__0
48:11 8__0
48:11 11__0
48:11 13__0
48:11 16__0
48:12 1__0
48:12 2__0
48:12 5__0
48:0 12__0
48:12 8__0
48:12 9__0
48:12 12__0
48:12 15__0
48:13 2__0
48:13 4__0
48:13 6__0
48:13 8__0
48:13 9__0
48:13 10__0
48:13 11__0
48:0 19__0
48:13 14__0
48:1 12__0
48:14 3__0
48:14 7__0
48:1 18__0
48:15 6__0
48:15 12__0
48:16 6__0
48:1 20__0
48:16 12__0
48:17 1__0
48:17 5__0
48:17 13__0
48:18 0__0
48:18 2__0
48:2 11__0
48:2 16__0
48:18 6__0
48:18 7__0
48:2 17__0
48:19 1__0
48:19 2__0
48:19 12__0
48:20 2__0
48:2 18__0
48:20 13__0
48:2 20__0
48:21 8__0
48:3 1__0
48:21 10__0
48:21 14__0
48:3 2__0
48:3 3__0
48:3 10__0
48:22 11__0
48:3 15__0
48:22 13__0
48:22 16__0
48:3 20__0
48:22 21__0
48:22 22__0
48:22 23__0
48:12 6__0
48:23 4__0
48:23 7__0
48:4 9__0
48:23 10__0
48:23 15__0
48:23 17__0
48:23 19__0
48:23 20__0
48:4 10__0
48:23 26__0
48:24 5__0
48:24 7__0
48:4 16__0
48:24 11__0
48:24 16__0
48:4 17__0
48:4 18__0
48:22 25__0
Round49:____________________________
49:8 31__547
49:10 24__425
49:17 22__129
49:20 28__90
49:12 23__74
49:18 24__48
49:7 28__18
49:23 3__12
49:21 28__9
49:22 14__6
49:24 4__5
49:14 11__4
49:16 5__4
49:23 14__4
49:5 8__3
49:23 24__3
49:18 13__2
49:18 3__1
49:2 16__0
49:2 17__0
49:2 18__0
49:2 20__0
49:3 1__0
49:3 2__0
49:3 3__0
49:3 4__0
49:3 10__0
49:3 15__0
49:3 20__0
49:4 4__0
49:4 5__0
49:4 6__0
49:4 7__0
49:4 8__0
49:4 9__0
49:4 16__0
49:4 17__0
49:4 18__0
49:4 19__0
49:5 3__0
49:5 5__0
49:5 7__0
49:5 9__0
49:5 10__0
49:5 15__0
49:5 17__0
49:5 18__0
49:5 19__0
49:5 20__0
49:6 4__0
49:6 6__0
49:6 11__0
49:6 15__0
49:6 17__0
49:6 21__0
49:6 29__0
49:6 30__0
49:6 32__0
49:6 33__0
49:6 34__0
49:7 7__0
49:7 8__0
49:7 9__0
49:7 10__0
49:7 15__0
49:7 17__0
49:7 19__0
49:7 20__0
49:7 31__0
49:8 14__0
49:8 17__0
49:8 18__0
49:8 26__0
49:8 27__0
49:9 5__0
49:9 6__0
49:9 8__0
49:9 9__0
49:9 14__0
49:9 16__0
49:9 25__0
49:10 4__0
49:10 7__0
49:10 10__0
49:10 14__0
49:10 16__0
49:10 27__0
49:11 3__0
49:11 6__0
49:11 8__0
49:11 11__0
49:11 13__0
49:11 16__0
49:11 23__0
49:11 30__0
49:11 34__0
49:12 1__0
49:12 2__0
49:12 5__0
49:12 9__0
49:12 12__0
49:12 15__0
49:12 22__0
49:0 5__0
49:13 2__0
49:13 4__0
49:13 6__0
49:13 7__0
49:13 8__0
49:13 9__0
49:13 10__0
49:13 11__0
49:13 13__0
49:13 14__0
49:13 21__0
49:14 1__0
49:14 3__0
49:14 5__0
49:0 12__0
49:14 21__0
49:15 5__0
49:15 12__0
49:15 21__0
49:16 4__0
49:0 19__0
49:16 12__0
49:16 21__0
49:17 1__0
49:17 3__0
49:17 13__0
49:1 5__0
49:18 0__0
49:18 2__0
49:1 8__0
49:1 12__0
49:18 23__0
49:1 18__0
49:19 1__0
49:19 14__0
49:19 15__0
49:19 23__0
49:20 1__0
49:20 8__0
49:20 16__0
49:20 24__0
49:20 25__0
49:20 26__0
49:20 27__0
49:1 20__0
49:21 0__0
49:21 17__0
49:2 4__0
49:22 0__0
49:22 6__0
49:2 5__0
49:22 15__0
49:22 16__0
49:22 18__0
49:22 21__0
49:22 22__0
49:22 23__0
49:22 25__0
49:22 27__0
49:23 1__0
49:23 2__0
49:2 6__0
49:23 9__0
49:23 10__0
49:23 11__0
49:23 12__0
49:2 7__0
49:23 15__0
49:23 17__0
49:23 19__0
49:23 20__0
49:2 8__0
49:23 26__0
49:2 11__0
49:24 7__0
49:24 8__0
49:24 10__0
49:24 15__0
49:24 16__0
49:24 18__0
49:24 21__0
49:24 25__0
49:24 26__0
